FORNECIMENTO;OS;RESULTADO
86040413330113;2443310151;NÃO FACTÍVEL - SUJEITO A REFLUXO - ESGOTANDO EM CORREGO/GALERIA/CÉU ABERTO
865952108002;2443302489;NÃO FACTÍVEL - SUJEITO A REFLUXO - ESGOTANDO EM CORREGO/GALERIA/CÉU ABERTO
